,,,,INS,LC,UC,LC,UC,,LC,UC,,
,LC,UC,CTRL,CTRL,g,g,v,v,z,^W,^W,MARK,BUF
@ / BQ,mac exec,J-chr,,,,,,,,,,,
a,append,app eol,+add,,,,,,,,,,
b,-word,-WORD,-page,FREE,,,,,to-bot,bot,,,
c,*CHG,c$,!int,,,,,,,close,,,
d,*DEL,d$,+scroll,-indent,,,,,,def,,,
e,+end,+END,+expose,below,-end,-END,,,,,,,
f,+find,-find,+page,,,,,,,file,,,
g,%gen,goto,status,,bof,,,,,,,,
h,left,head,left,-del,,,,,,left,=left,,
i,insert,ins bol,+jump,self,,,,,,id,,,
j,down,down,down,CR,,,,,,down,=bot,,
k,up,LOOKUP,FREE,,,,,,,up,=top,,
l,right,last,redraw,,,,,,,right,=right,,
m,mark,middle,+line,CR,,,,,,,,,
n,+next,-next,down,=*,,,,,,new,,,
o,+open,-open,-jump,,,,opp diag,opp line,,only,,,
p,+put,-put,up,=#,,,,,,prev,preview,,
q,mac defn,ex mode,!xon,!xon,,,,,,quit,,,
r,replace,REPLACE,redo,REG x,,,,,,+rot,-rot,,
s,cl,cc,!xoff,!xoff,,,,,,split,new tab,,
t,+to,-to,-tag,+indent,,,,,to-top,top,,,
u,undo,UNDO,-scroll,,,,,,,,,,
v,vis chr,vis line,vis blk,quote,,,,,,vert,,,
w,+word,+WORD,%win,,,,,,,+wrap,-wrap,,
x,-del,+del,-add,,,,,,,xchg,,,
y,*YANK,yy,-expose,above,,,,,,,,,
z,%fold,exit,!suspend,,,,,,to-mid,,,,
,,,,INS,LC,UC,LC,UC,,LC,UC,,
,LC,UC,CTRL,CTRL,g,g,v,v,z,^W,^W,MARK,BUF
[ / {,,,*CMD,*CMD,,,,,,,,beg chg,
] / },,,+tag,Abbrev,,,,,,,,end chg,
PIPE / \,#column,FREE,,,,,,,,,,,
^,first,,,,,,,,,,,,
~,case,,,,,,,,,,,,
_,#first,,,,,,,,,,,,
DEL,,,,+del,,,,,,,,,
SPC,right,,,,,,,,,,,,
!,*FILTER,,,,,,,,,,,,
DQ,,,,,,,,,,,,edit,
#,?cursor,,,,,,,,,,,,
$,END,,,,,,,,,,,,
%,pair,,,,,,,,,,,,
&,redo :s,,,,,,,,,,,,
SQ,J-line,,,,,,,,,,,jump,
( / ),,,,,,,,,,,,,
*,/cursor,,,,,,,,,,,,clipboard
+ / -,+line,-line,,,,,,,,+size,-size,,
COMMA,redo F,,,,,,,,,,,,
.,repeat,,,,,,,,,,,,
/,+search,,,,,,,,,,,,
:,ex cmd,,,,,,,,,,,,
;,redo f,,,,,,,,,,,,
< | >,-shift,+shift,,,,,,,,slim,wide,,
=,indent,,,,,,,,,same,,,
?,-search,,,,,,,,,,,,
,,,,INS,LC,UC,LC,UC,,LC,UC,,
,LC,UC,CTRL,CTRL,g,g,v,v,z,^W,^W,MARK,BUF
,,,,,,,,,,,,,
,,,,INS,LC,UC,LC,UC,,LC,UC,,
,LC,UC,CTRL,CTRL,g,g,v,v,z,^W,^W,MARK,BUF
0,BEGIN,,,,,,,,,,,,
1,digit,,,,,,,,,,,,
2,digit,,,,,,,,,,,,
3,digit,,,,,,,,,,,,
4,digit,,,,,,,,,,,,
5,digit,,,,,,,,,,,,
6,digit,,,,,,,,,,,,
7,digit,,,,,,,,,,,,
8,digit,,,,,,,,,,,,
9,digit,,,,,,,,,,,,
,,,,,,,,,,,,,
up,,,,,,,,,,,,,
left,,,,,,,,,,,,,
right,,,,,,,,,,,,,
down,,,,,,,,,,,,,
insert,,,,,,,,,,,,,
delete,,,,,,,,,,,,,
home,,,,,,,,,,,,,
end,,,,,,,,,,,,,
Pg Up,,,,,,,,,,,,,
Pg Dn,,,,,,,,,,,,,
,,,,INS,LC,UC,LC,UC,,LC,UC,,
,LC,UC,CTRL,CTRL,g,g,v,v,z,^W,^W,MARK,BUF
